1390498976.906 |      0 | 172.17.11.199 | TCP_DENIED/407 | 3872 | CONNECT | client20.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498977.171 |      0 | 172.17.12.200 | TCP_DENIED/407 | 4907 | POST | http://q2.queuev4.vk.com/im035 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://q2.queuev4.vk.com/q_frame.php?7
1390498977.186 |      0 | 172.17.11.183 | TCP_DENIED/407 | 4599 | POST | http://q45.queuev4.vk.com/im468 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://q45.queuev4.vk.com/q_frame.php?7
1390498977.189 |      0 | 172.17.12.200 | TCP_DENIED/407 | 5239 | POST | http://q2.queuev4.vk.com/im035 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://q2.queuev4.vk.com/q_frame.php?7
1390498977.203 |      0 | 172.17.11.183 | TCP_DENIED/407 | 4931 | POST | http://q45.queuev4.vk.com/im468 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://q45.queuev4.vk.com/q_frame.php?7
1390498977.310 |     94 | 172.17.11.183 | TCP_MISS/200 | 370 | POST | http://q45.queuev4.vk.com/im468 | ksv006 | HIER_DIRECT/87.240.131.208 | text/javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://q45.queuev4.vk.com/q_frame.php?7
1390498978.013 |      0 | 172.17.11.196 | TCP_DENIED/407 | 3872 | CONNECT | client69.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498978.029 |      0 | 172.17.11.196 | TCP_DENIED/407 | 3872 | CONNECT | client93.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498978.546 |      0 | 172.17.12.35 | TCP_DENIED/407 | 3875 | CONNECT | client-lb.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498978.570 |      0 | 172.17.12.35 | TCP_DENIED/407 | 3875 | CONNECT | client-lb.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
